Peaches,banana,P,Peaches,20,peaches_are_sweer@gmail.com
Sushi,japan,Wong,Jessica,30,jessica_wong_123@gmail.com
Mooooo,cow,Big,Cow,5,imacow@yahoo.com
Mario,Mario,Mario,Mario,40,mario@gmail.com
Loca,lol,Last,First,99,loca@gmail.com
spicy_noodles,spicyy,Spicy,Noodles,50,ieatspicyfood@gmail.com
Boo,Boo,BOOOOO,BOOOOO,25,boo@gmail.com
KP,KP,K,P,25,kp@gmail.com
test1,test,t,t,10,test@gmail.com
John,John1,JK,John,56,john@gmail.com
hello,hello,hello,hello,100,hello
hello,hello,hello,hello,15,1
x,123123,D,P,11,a@gmail.com
x2,123123,f,f,1,f
